constraint_id,context,chi,KL_fwd,KL_rev,d_FR,H_sq,max_tvd,argmax_cl,argmax_idx,type_match
abolition_reading,powerless,0.4576,0.48919739754275116,0.2002683913704343,0.7687719772224686,0.1459422889206266,0.2047435802467994,tangled_rope,tangled_rope,True
abolition_reading,moderate,0.973713,0.09881910843787015,0.1118022705669455,0.4582607488102143,0.05227143619404935,0.21095445395246656,tangled_rope,tangled_rope,True
abolition_reading,institutional,-0.070627,0.8242300806961591,0.23003588166421796,0.8750122690664164,0.18837783129435393,0.21215761823623236,tangled_rope,tangled_rope,True
abolition_reading,analytical,1.205539,1.5671850501903297,1.1900347074276374,1.6372270276787986,0.6335314503893017,0.7141885372629916,tangled_rope,piton,False
abolitionist_rights,powerless,0.84777,0.18149915863736454,0.08757043811919644,0.4785565740755844,0.056981450132840006,0.114636505230094,tangled_rope,tangled_rope,True
abolitionist_rights,moderate,0.863064,0.2552996431641843,0.11366015738454363,0.5427818782952185,0.07320208604187273,0.14550987979666813,tangled_rope,tangled_rope,True
abolitionist_rights,institutional,-0.032957,1.5366045627493086,0.22329210080131018,0.8493073074441729,0.17763703184584473,0.20402419368412206,tangled_rope,tangled_rope,True
abolitionist_rights,analytical,1.068546,2.003038056143713,1.0697848380214443,1.4674600144998373,0.514636408486294,0.6526489203050937,tangled_rope,piton,False
absolutist_reading,powerless,0.3536,3.946238315031442,0.7292900348235088,1.5847537547481014,0.5956901871621578,0.5182431787114434,snare,tangled_rope,False
absolutist_reading,moderate,0.752415,0.390781413681255,0.3101501948896927,0.8326396996450818,0.1708332531535251,0.37561415537601706,snare,tangled_rope,False
absolutist_reading,institutional,-0.028731,11.243730883500247,0.7365090664930873,1.6079984700058363,0.6123354602165039,0.5183723400002229,snare,tangled_rope,False
absolutist_reading,analytical,0.931553,5.758038196929181,0.7306030213666331,1.603601267514429,0.6091722300150522,0.5183683977852754,snare,tangled_rope,False
adaptation_priority,powerless,0.3536,3.9372615192851432,0.7266229310376091,1.5822319206404218,0.5938956970430951,0.516957195838738,snare,tangled_rope,False
adaptation_priority,moderate,0.752415,0.39031812906988694,0.3093936896710137,0.8318693197928145,0.17052184925373876,0.3749556161049844,snare,tangled_rope,False
adaptation_priority,institutional,-0.028731,11.2137723645068,0.7304936031366722,1.6051590973298402,0.6102921230279805,0.5170803237386015,snare,tangled_rope,False
adaptation_priority,analytical,0.931553,5.744659217399665,0.7281332303211342,1.6010928978048198,0.607370786204749,0.517076402380074,snare,tangled_rope,False
adaptation_priority_reading,powerless,0.3016,7.150240446137952,0.9276921216636448,1.7783191327848786,0.7398702371538739,0.6045298921897175,snare,tangled_rope,False
adaptation_priority_reading,moderate,0.641765,0.0026869707447684916,0.002654130015267819,0.0730817929761715,0.0013350885512521697,0.03542249856907531,snare,snare,True
adaptation_priority_reading,institutional,0.063872,13.24894776967666,0.9325161007779844,1.7818147794690544,0.7425866787426976,0.6045322972800727,snare,tangled_rope,False
adaptation_priority_reading,analytical,0.79456,1.4413219544028235,0.7763291258570976,1.4274318304279294,0.48813102639236844,0.5735319929974502,snare,tangled_rope,False
antisubordination_reading,powerless,0.63726,0.0037309778418388403,0.003699010424334862,0.08619667804558834,0.0018571793290738802,0.04258524644269607,snare,snare,True
antisubordination_reading,moderate,0.641765,0.002796565685686304,0.0027770085365861697,0.07465581677862772,0.0013932109616014668,0.03690543720957673,snare,snare,True
antisubordination_reading,institutional,-0.024506,12.057225323415327,0.8067301342671966,1.678051242856046,0.6636238536454998,0.5535049414282266,snare,tangled_rope,False
