group,n,mean_epsilon,mean_chi_analytical,mean_h1,mean_corrected_tvd,mean_audit_tvd,mean_d_FR,mean_KL,pct_mountain,pct_rope,pct_tangled_rope,pct_snare,pct_scaffold,pct_piton
A,0,,,,,,,,,,,,,
B,27,0.5630,0.7706,4.41,0.000620,0.378199,0.008753,0.000413,0.0,3.7,22.2,74.1,0.0,0.0
C,3,0.1800,0.2466,3.67,0.000650,0.021816,0.006950,0.000031,0.0,0.0,100.0,0.0,0.0,0.0
