constraint_id,h1,max_tvd,t13_fires,worst_context,d_FR_worst,KL_fwd_worst,KL_rev_worst,asymmetry_ratio,argmax_cl,argmax_idx
abolition_reading,0,0.7141885372629916,False,analytical,1.6372270276787986,1.5671850501903297,1.1900347074276374,0.24065463278691218,tangled_rope,piton
abolitionist_rights,0,0.6526489203050937,False,analytical,1.4674600144998373,2.003038056143713,1.0697848380214443,0.465918865225649,tangled_rope,piton
absolutist_reading,0,0.5183723400002229,False,institutional,1.6079984700058363,11.243730883500247,0.7365090664930873,0.9344960250183606,snare,tangled_rope
adaptation_priority,0,0.5170803237386015,False,institutional,1.6051590973298402,11.2137723645068,0.7304936031366722,0.934857461040605,snare,tangled_rope
adaptation_priority_reading,0,0.6045322972800727,False,institutional,1.7818147794690544,13.24894776967666,0.9325161007779844,0.9296158368959483,snare,tangled_rope
antisubordination_reading,0,0.5535049414282266,False,institutional,1.678051242856046,12.057225323415327,0.8067301342671966,0.9330915602364572,snare,tangled_rope
autonomy_reading,0,0.2067959324154529,False,moderate,0.4697352466365074,0.1018242475397976,0.11996596332821283,0.15122385787693476,tangled_rope,tangled_rope
balancing_reading,0,0.5828736537383951,False,institutional,1.7374059752510094,12.741920254223029,0.8752739162474699,0.9313075345957075,snare,tangled_rope
became_thinkable_reading,0,0.03797804844652433,False,institutional,0.39271752618110856,0.03928095697318285,0.7133585201305537,0.9449351821493714,tangled_rope,tangled_rope
behavioral_competence_reading,4,0.03996816509207368,False,institutional,0.12524051933952743,0.007451692863489512,0.008268536627782371,0.0987893990271816,mountain,mountain
beneficiary_agency_reading,0,2.6963700935170202e-05,False,institutional,0.00933679330195623,9.49548632157411e-05,2.5666018193976742e-05,0.7297029628102084,tangled_rope,tangled_rope
beneficiary_maintained_reading,0,0.6133071297274773,False,institutional,1.799842953193942,13.454902434494363,0.956173962021695,0.9289349018562668,snare,tangled_rope
beneficiary_maintenance_reading,0,0.3357468804372147,False,institutional,1.2330313725881592,7.020512199198998,0.4093328188009072,0.9416947357704741,tangled_rope,tangled_rope
biology_reading,0,0.5388255515425672,False,institutional,1.6554217439085666,11.72027616876823,0.8486953188285851,0.9275874299711334,snare,tangled_rope
birth_reading,0,0.004600852385678554,False,institutional,0.0525815321849156,0.0012551151683049483,0.0015301388987832695,0.17973775498225264,rope,rope
birth_threshold_reading,0,0.13516155899153634,False,analytical,0.7212908667635126,0.14357597968603142,0.7200919223710042,0.8006143726577473,tangled_rope,tangled_rope
bodily_autonomy_primary,3,0.9434719607874261,True,institutional,2.699297772814717,21.516075929603467,4.747035369918964,0.7793726241973505,snare,tangled_rope
bridge_reading,0,0.11794927785884557,False,institutional,0.6958959873122568,0.12542380080175625,1.0514560054960758,0.8807141714478282,tangled_rope,tangled_rope
catastrophe_as_necessary,0,0.9996840765257312,False,institutional,3.1077252819844543,23.015752170966266,9.008113315948702,0.6086109526625775,snare,tangled_rope
catastrophic_tail_dominant,0,0.6041490525819471,False,powerless,1.7775344948821648,7.14605704269572,0.9266930209931918,0.8703210714025292,snare,tangled_rope
catastrophic_tail_reading,0,0.6078500789026822,False,institutional,1.789213189103439,13.32707153299929,0.9491743450755695,0.9287784759971229,snare,tangled_rope
categorical_abolition,0,0.09174690203216873,False,institutional,0.59873348471286,0.09570992286249716,0.5702836356938669,0.8321713672424663,tangled_rope,tangled_rope
civic_eugenic_reading,0,0.18372232773674918,False,institutional,0.8868112212418721,3.7537225948434543,0.20811115044404896,0.9445587293184813,tangled_rope,tangled_rope
civic_right_reading,0,0.021625428671913527,False,institutional,0.2969288143711032,0.023869438734469128,0.316298142053465,0.9245350017565567,tangled_rope,tangled_rope
co_constitution_reading,3,0.0065415535456428975,False,institutional,0.15194328329328466,0.006413443130270401,0.029741849795597824,0.7843630045088967,tangled_rope,tangled_rope
codification_asymmetry,0,0.2951132615752381,False,powerless,1.1469138933172698,3.5931645403174612,0.34969461246556066,0.9026778182457893,tangled_rope,tangled_rope
collective_militia_reading,5,0.5165592513780349,True,institutional,1.6047235211729942,11.202032112806798,0.7363078231553689,0.9342701560091422,snare,tangled_rope
collective_right_reading,0,0.047482551628457714,False,institutional,0.4277912002563333,0.04840740526629464,0.297268621992611,0.8371593848626988,tangled_rope,tangled_rope
colorblind_reading,6,0.2575716906458064,True,institutional,1.0659810730923809,5.360927331514612,0.30653985366667547,0.9428196215485598,tangled_rope,tangled_rope
commemorative_husk_reading,0,0.7563955092965082,False,analytical,2.0945403003602254,9.484969695639577,1.4293470536869006,0.8493039936285723,snare,piton
communal_autonomy_reading,0,0.2857650592628329,False,analytical,0.8100692432448462,0.2545250576403253,0.4415118203948523,0.4235147375834723,tangled_rope,tangled_rope
competence_reading,0,0.8885388319296817,False,institutional,2.1897233543555754,2.4783520784312167,2.5607829827043767,0.03218972666949964,tangled_rope,rope
composite_reading,5,0.2565854032637541,True,institutional,1.0630331147213146,5.338958536989827,0.3012176466889482,0.9435811976058577,tangled_rope,tangled_rope
conception_reading,0,0.14260439697914779,False,institutional,0.8135284262558405,2.8880088975414537,0.35379067370339257,0.8774966815356515,tangled_rope,tangled_rope
conceptual_emergence_reading,0,0.006963086255949658,False,analytical,0.0746187602024123,0.0024502908252612247,0.0031910534545072002,0.23213733013456295,rope,rope
constitutional_hybrid_reading,3,0.6758438449602102,True,institutional,1.6373563753687121,1.0598104023513055,1.8296479486424446,0.4207571991444257,tangled_rope,rope
constitutional_supremacy_reading,0,0.021887216207039706,False,institutional,0.2798086461755546,0.021687437702321583,0.1022466144382618,0.7878908967160295,tangled_rope,tangled_rope
consumer_adoption_friction,0,0.043426285025697675,False,moderate,0.21366776393616976,0.019539842381687607,0.027025194393032744,0.2769768055128183,tangled_rope,tangled_rope
continuationist_reading,0,0.5828964288321086,False,powerless,1.7343767931666594,6.9141267337296215,0.8743918232529558,0.8735354648639351,snare,tangled_rope
