constraint_id,context,H_sq_total,frac_mountain,frac_rope,frac_tangled_rope,frac_snare,frac_scaffold,frac_piton
bodily_autonomy_primary,powerless,0.048770180925761845,0.0,0.0,0.8819693232397674,0.1180306655066881,1.8639247100579837e-09,9.389619808039002e-09
bodily_autonomy_primary,moderate,0.09939035342567067,2.8874625715899653e-41,2.8874625715899653e-41,0.8495375361249874,0.15046245346901574,8.129687064958013e-10,9.593028257145658e-09
bodily_autonomy_primary,institutional,1.561301473360123,1.8381198659608748e-42,0.001708222113322387,0.30018934455280794,0.6042731340411986,0.09382929928720014,5.4708144634419846e-12
bodily_autonomy_primary,analytical,1.5093128674697007,7.605737198142154e-42,7.605737198142154e-42,0.3849227940285832,0.6150771754963767,5.439501766232827e-09,2.503553815103209e-08
collective_militia_reading,powerless,0.002474509873095532,6.0122412682005154e-36,6.0122412682005154e-36,0.5413887586550327,0.45860484591857914,4.291548004673962e-07,5.966271587713962e-06
collective_militia_reading,moderate,0.0014130487603370742,1.052854706446625e-35,1.052854706446625e-35,0.5353211406974997,0.46465496434277836,9.557089244484931e-07,2.29392507975822e-05
collective_militia_reading,institutional,0.6099789110071859,2.438994219165605e-38,0.0005025226136216866,0.15178008519611166,0.8468241571070289,0.000892844172240963,3.909109966901834e-07
collective_militia_reading,analytical,0.41210678762249897,1.125273523235518e-31,1.125273523235518e-31,0.20931417041386832,0.7906750005139506,8.675618826683492e-09,1.0820396562268126e-05
colorblind_reading,powerless,0.27639373097834685,8.564604836536537e-31,5.27867831824317e-06,0.06925577771437483,0.9307222740908726,1.6242732741139928e-05,4.2678369315291075e-07
colorblind_reading,moderate,0.06546531774842387,2.6938328654374732e-33,2.6938328654374732e-33,0.37647537945594256,0.6235244858960234,1.318854097053615e-07,2.7626241587130662e-09
colorblind_reading,institutional,0.277417202672328,6.530027545186322e-34,0.0011049662755842195,0.06858726910529744,0.9284267091604275,0.0018801583790552406,8.970796355280776e-07
colorblind_reading,analytical,0.0019330186245468941,9.37157020607326e-32,9.37157020607326e-32,0.27693432212049546,0.722658683967764,1.156977358921098e-05,0.0003954241381513541
composite_reading,powerless,0.04929308120294585,2.1451220877610176e-33,2.1451220877610176e-33,0.3589532779116665,0.6410466478570103,5.6340788229020954e-08,1.7890534877836804e-08
composite_reading,moderate,0.06538272472568697,1.6736764567690013e-33,1.6736764567690013e-33,0.37530414438184734,0.6246957900075211,5.570854316846909e-08,9.902088281600226e-09
composite_reading,institutional,0.27592118341152233,4.074604471490918e-34,0.0008611597421575826,0.06859624745994748,0.9298860980497128,0.0006530144467910311,3.4803013910860048e-06
composite_reading,analytical,0.0019307575506114355,5.821085444253693e-32,5.821085444253693e-32,0.2756568271311076,0.7227962849566286,4.891495265009228e-06,0.0015419964169987924
constitutional_hybrid_reading,powerless,0.0028470386843780083,1.00801554635855e-39,0.9760352775145246,0.02388185740072855,1.00801554635855e-39,8.181492591183223e-05,1.0501588350831458e-06
constitutional_hybrid_reading,moderate,0.004036243512819125,0.0,0.9775621430343869,0.02235256921263598,0.0,8.41758092451128e-05,1.1119437320545268e-06
constitutional_hybrid_reading,institutional,0.633625902831488,0.0,0.689247061494923,0.3106336246368569,0.0,0.00011859148470346784,7.223835165989267e-07
constitutional_hybrid_reading,analytical,0.021835701992955203,0.0,0.9882793792277443,0.011595317846700454,0.0,0.00012253220189002768,2.7707236651387793e-06
correctness_camouflage,powerless,0.016805393213477713,0.0,0.0,0.9601276587521819,0.03752865673978352,2.323474208504112e-11,0.002343684484799715
correctness_camouflage,moderate,0.036433966225231366,7.876878507258925e-41,7.876878507258925e-41,0.9474974970257064,0.050069809346421676,1.3901770894360465e-13,0.002432693627732965
correctness_camouflage,institutional,1.7420545097184579,1.6473992282830676e-42,0.0005062034112558148,0.42906136882166973,0.5643601387149126,0.00606871804800251,3.571004159386433e-06
correctness_camouflage,analytical,1.7123205057232143,7.609941155295877e-32,7.609941155295877e-32,0.4369493267013665,0.5574380013194705,3.3115338160488434e-11,0.0056126719460477285
cyclopean_point_as_manufactured_center,powerless,0.079785452997146,5.629262522325557e-35,5.629262522325557e-35,0.18351190604795453,0.7820852155675387,5.629262522325557e-35,0.03440287838450667
cyclopean_point_as_manufactured_center,moderate,0.11972626459606786,4.6780405031134085e-35,4.6780405031134085e-35,0.158536445478939,0.8058109382262905,4.6780405031134085e-35,0.03565261629477052
cyclopean_point_as_manufactured_center,institutional,0.37370659475837903,6.607450488747344e-31,1.737674170023458e-05,0.09587756136898094,0.8860699760129566,1.4311070381840713e-06,0.018033654769324104
cyclopean_point_as_manufactured_center,analytical,0.4281643176857938,2.2128907922393675e-35,2.2128907922393675e-35,0.024804274041204572,0.7700653021371456,2.2128907922393675e-35,0.2051304238216498
dual_priority_reading,powerless,0.0022502697701436676,1.1631611772066948e-34,1.1631611772066948e-34,0.34443145095777034,0.6555570068208558,7.165294363421791e-07,1.0825691937535728e-05
dual_priority_reading,moderate,0.00127259570607147,2.1116065370427264e-34,2.1116065370427264e-34,0.3388449419390391,0.6611166674249566,1.6419428068455868e-06,3.6748693197544526e-05
dual_priority_reading,institutional,0.35452573555912786,7.679169692180489e-37,0.002593274168863016,0.08724022095870997,0.9084271596829705,0.0017383098347985365,1.0353546579682633e-06
dual_priority_reading,analytical,0.24878233311288733,1.2130731251294513e-31,1.2130731251294513e-31,0.11849844657004092,0.8814879713119298,2.4453156484474716e-08,1.3557664872754506e-05
endogenous_climb_reading,powerless,6.76182513531911e-06,2.105290543371031e-29,0.0010860133869737307,1.2665189961204557e-06,0.3842576386159443,0.6146550814780859,2.105290543371031e-29
endogenous_climb_reading,moderate,9.343805071242343e-06,2.5050045165143143e-29,0.0009181478138973994,7.273998579726504e-07,0.3923539787611719,0.6067271460250728,2.5050045165143143e-29
endogenous_climb_reading,institutional,0.6962042136828016,4.064587160073175e-31,0.597687131980476,0.1761981992696247,1.0380961412125244e-05,0.22610428778848726,4.064587160073175e-31
endogenous_climb_reading,analytical,2.171025805990952e-05,7.08577971574468e-27,0.0004413173335054349,7.417320623525662e-06,0.0035775907969573654,0.9959736745489136,7.08577971574468e-27
existential_risk_reading,powerless,0.599353917220546,4.168419626737239e-31,9.539750903377444e-07,0.15074850042571872,0.8492397628413316,1.0746524707175097e-05,3.623315196763236e-08
existential_risk_reading,moderate,0.0014151343270984037,1.8689832044235558e-35,1.8689832044235558e-35,0.529616444351621,0.47037576389234764,2.2771309891500547e-06,5.514625042075089e-06
existential_risk_reading,institutional,0.6023420155241179,4.482919177771215e-38,0.0006639636697451264,0.1491616273417799,0.8480423222024274,0.0021319910111945064,9.57748531959275e-08
existential_risk_reading,analytical,0.40717331939188894,6.631698209016358e-38,6.631698209016358e-38,0.20631496222041837,0.7936824332312529,2.2755460154237813e-08,2.5817928685135806e-06
frame_absorption_dynamics,powerless,0.327241655521384,7.60755663021187e-31,7.90696126657515e-06,0.08223842306740223,0.9176852045132249,6.844720461068433e-05,1.8253495476387526e-08
frame_absorption_dynamics,moderate,0.001230713458416063,8.81970136326954e-34,8.81970136326954e-34,0.3174177903613161,0.682568149728857,1.2844857204372992e-05,1.215052622503839e-06
frame_absorption_dynamics,institutional,0.33337623973577024,3.309095748611932e-36,0.005332098080568807,0.0776511390041021,0.9034750373554036,0.01354169024846092,3.5311464623673324e-08
frame_absorption_dynamics,analytical,0.23182873309375054,4.743234918754965e-36,4.743234918754965e-36,0.10985011326694764,0.8901492401165754,2.096426479689558e-07,4.3697382901528894e-07
frame_mismatch_friction,powerless,7.968709930722278e-05,5.087197269735534e-29,0.00019814074834621732,0.00016210264556243471,0.9655249490482594,0.03411480755783192,5.087197269735534e-29
frame_mismatch_friction,moderate,0.0001254606465560875,5.255161375342575e-29,0.00015105189595804823,0.0001944548188742054,0.9698196278411325,0.02983486544403536,5.255161375342575e-29
frame_mismatch_friction,institutional,0.2472627831202997,1.898140845199397e-30,0.5648762557580608,0.06320079800330816,0.0003475919467048094,0.37157535429192634,1.898140845199397e-30
frame_mismatch_friction,analytical,0.0005031654740248944,9.161289569710887e-29,5.055918247580306e-05,0.0003816698376010287,0.968372268810696,0.03119549316395222,9.005275003581077e-09
hanbali_reading,powerless,0.5731430291054695,4.357483255589111e-31,1.4912160140058588e-06,0.14413368529666795,0.8558298202021284,3.499785898973175e-05,5.426200083472488e-09
