id	n_obs_defined	has_full_map	chi_min	chi_max	chi_span	starved	subset_a	subset_b	mtype_vec	ftype_vec	immut_vec
post_evidentiary	4	True	0.27037547527230443	0.4047195331240714	0.13434405785176695	False	False	False	naturalized|naturalized|naturalized|tangled_rope	naturalized|naturalized|naturalized|tangled_rope	mountain|rope|rope|mountain
pragmatic_action_reading	4	True	0.167471066534214	0.24997382928251466	0.08250276274830065	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
pre_public_initiative_reading	4	True	0.16759999626063793	0.24997382928251466	0.08237383302187673	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
prerequisite_debt_reading	4	True	0.19139550461053031	0.2856843763228739	0.0942888717123436	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
press_reformation_causality__strategic_deployment	4	True	0.26672315105761923	0.4047195331240714	0.13799638206645215	False	False	False	naturalized|naturalized|naturalized|tangled_rope	naturalized|naturalized|naturalized|tangled_rope	mountain|rope|rope|mountain
press_reformation_causation__mutual_shaping	4	True	0.0797481269210543	0.11903515680119747	0.03928702988014317	True	False	False	scaffold|scaffold|scaffold|scaffold	piton|piton|piton|piton	mountain|rope|rope|mountain
press_reformation_causation__strategic_deployment	4	True	0.2472191934552683	0.36900898608371213	0.12178979262844383	False	False	False	naturalized|naturalized|naturalized|tangled_rope	naturalized|naturalized|naturalized|tangled_rope	mountain|rope|rope|mountain
propagation_speed_asymmetry	4	True	0.04784887615263258	0.07142109408071848	0.0235722179280859	True	False	False	scaffold|scaffold|scaffold|scaffold	rope|rope|rope|rope	mountain|rope|rope|mountain
property_sector_overhang	4	True	0.26672315105761923	0.4047195331240714	0.13799638206645215	False	False	False	naturalized|naturalized|naturalized|tangled_rope	naturalized|naturalized|naturalized|tangled_rope	mountain|rope|rope|mountain
protein_anabolic_resistance	4	True	0.03189925076842172	0.04761406272047898	0.01571481195205726	True	True	False	mountain|scaffold|scaffold|mountain	mountain|scaffold|scaffold|mountain	mountain|rope|rope|mountain
qualitative_development_reading	4	True	0.26672315105761923	0.4047195331240714	0.13799638206645215	False	False	False	naturalized|naturalized|naturalized|tangled_rope	naturalized|naturalized|naturalized|tangled_rope	mountain|rope|rope|mountain
quantitative_growth_reading	4	True	0.26672315105761923	0.4047195331240714	0.13799638206645215	False	False	False	naturalized|naturalized|naturalized|tangled_rope	naturalized|naturalized|naturalized|tangled_rope	mountain|rope|rope|mountain
radiative_levitation_stratification	4	True	0.01197142830433128	0.01785527352017962	0.00588384521584834	True	True	False	mountain|scaffold|scaffold|mountain	mountain|scaffold|scaffold|mountain	mountain|rope|rope|mountain
reading_acquisition_legitimacy__whole_language_meaning_primacy	4	True	0.23534395681554635	0.35710547040359236	0.12176151358804602	False	False	False	naturalized|naturalized|naturalized|tangled_rope	naturalized|naturalized|naturalized|tangled_rope	mountain|rope|rope|mountain
refugee_convention_text__expansive_humanitarian_reading	4	True	0.12759700307368688	0.19045625088191592	0.06285924780822905	True	False	False	scaffold|scaffold|scaffold|scaffold	piton|piton|piton|piton	mountain|rope|rope|mountain
