id	obs	lo	hi	type
ability_ceiling_reading	powerless	-0.5000	0.3490	naturalized
ability_ceiling_reading	powerless	0.3500	0.3500	unknown
ability_ceiling_reading	powerless	0.3510	0.6590	tangled_rope
ability_ceiling_reading	powerless	0.6600	1.6000	snare
ability_ceiling_reading	moderate	-0.5000	0.0000	rope
ability_ceiling_reading	moderate	0.0010	0.3490	naturalized
ability_ceiling_reading	moderate	0.3500	0.3500	unknown
ability_ceiling_reading	moderate	0.3510	0.6590	tangled_rope
ability_ceiling_reading	moderate	0.6600	1.6000	snare
ability_ceiling_reading	institutional	-0.5000	0.0000	rope
ability_ceiling_reading	institutional	0.0010	0.3490	naturalized
ability_ceiling_reading	institutional	0.3500	0.3500	unknown
ability_ceiling_reading	institutional	0.3510	0.6590	tangled_rope
ability_ceiling_reading	institutional	0.6600	1.6000	snare
ability_ceiling_reading	analytical	-0.5000	0.0000	rope
ability_ceiling_reading	analytical	0.0010	0.3490	naturalized
ability_ceiling_reading	analytical	0.3500	0.3500	unknown
ability_ceiling_reading	analytical	0.3510	0.6590	tangled_rope
ability_ceiling_reading	analytical	0.6600	1.6000	snare
access_barrier_reading	powerless	-0.5000	0.3490	naturalized
access_barrier_reading	powerless	0.3500	0.3500	unknown
access_barrier_reading	powerless	0.3510	0.6590	tangled_rope
access_barrier_reading	powerless	0.6600	1.6000	snare
access_barrier_reading	moderate	-0.5000	0.0000	rope
access_barrier_reading	moderate	0.0010	0.3490	naturalized
access_barrier_reading	moderate	0.3500	0.3500	unknown
access_barrier_reading	moderate	0.3510	0.6590	tangled_rope
access_barrier_reading	moderate	0.6600	1.6000	snare
access_barrier_reading	institutional	-0.5000	0.0000	rope
access_barrier_reading	institutional	0.0010	0.3490	naturalized
access_barrier_reading	institutional	0.3500	0.3500	unknown
access_barrier_reading	institutional	0.3510	0.6590	tangled_rope
access_barrier_reading	institutional	0.6600	1.6000	snare
access_barrier_reading	analytical	-0.5000	0.0000	rope
access_barrier_reading	analytical	0.0010	0.3490	naturalized
access_barrier_reading	analytical	0.3500	0.3500	unknown
access_barrier_reading	analytical	0.3510	0.6590	tangled_rope
access_barrier_reading	analytical	0.6600	1.6000	snare
actinide_replenishment_mechanism_flat_control	powerless	-0.5000	1.6000	mountain
actinide_replenishment_mechanism_flat_control	moderate	-0.5000	0.4500	scaffold
actinide_replenishment_mechanism_flat_control	moderate	0.4510	1.6000	unknown
actinide_replenishment_mechanism_flat_control	institutional	-0.5000	0.4500	scaffold
actinide_replenishment_mechanism_flat_control	institutional	0.4510	1.6000	unknown
actinide_replenishment_mechanism_flat_control	analytical	-0.5000	1.6000	mountain
adjunctification_of_university_teaching_c0	powerless	-0.5000	0.3490	naturalized
adjunctification_of_university_teaching_c0	powerless	0.3500	0.3500	unknown
adjunctification_of_university_teaching_c0	powerless	0.3510	0.6590	tangled_rope
adjunctification_of_university_teaching_c0	powerless	0.6600	1.6000	snare
adjunctification_of_university_teaching_c0	moderate	-0.5000	0.0000	rope
adjunctification_of_university_teaching_c0	moderate	0.0010	0.3490	naturalized
adjunctification_of_university_teaching_c0	moderate	0.3500	0.3500	unknown
adjunctification_of_university_teaching_c0	moderate	0.3510	0.6590	tangled_rope
adjunctification_of_university_teaching_c0	moderate	0.6600	1.6000	snare
adjunctification_of_university_teaching_c0	institutional	-0.5000	0.0000	rope
adjunctification_of_university_teaching_c0	institutional	0.0010	0.3490	naturalized
adjunctification_of_university_teaching_c0	institutional	0.3500	0.3500	unknown
adjunctification_of_university_teaching_c0	institutional	0.3510	0.6590	tangled_rope
adjunctification_of_university_teaching_c0	institutional	0.6600	1.6000	snare
adjunctification_of_university_teaching_c0	analytical	-0.5000	0.0000	rope
adjunctification_of_university_teaching_c0	analytical	0.0010	0.3490	naturalized
adjunctification_of_university_teaching_c0	analytical	0.3500	0.3500	unknown
adjunctification_of_university_teaching_c0	analytical	0.3510	0.6590	tangled_rope
adjunctification_of_university_teaching_c0	analytical	0.6600	1.6000	snare
animal_status_kernel__property_reading	powerless	-0.5000	0.4500	scaffold
animal_status_kernel__property_reading	powerless	0.4510	0.6590	unknown
animal_status_kernel__property_reading	powerless	0.6600	1.6000	snare
animal_status_kernel__property_reading	moderate	-0.5000	0.4500	scaffold
animal_status_kernel__property_reading	moderate	0.4510	0.6590	unknown
animal_status_kernel__property_reading	moderate	0.6600	1.6000	snare
animal_status_kernel__property_reading	institutional	-0.5000	0.4500	scaffold
animal_status_kernel__property_reading	institutional	0.4510	0.6590	unknown
animal_status_kernel__property_reading	institutional	0.6600	1.6000	snare
animal_status_kernel__property_reading	analytical	-0.5000	0.4500	scaffold
animal_status_kernel__property_reading	analytical	0.4510	0.6590	unknown
animal_status_kernel__property_reading	analytical	0.6600	1.6000	snare
apoe4_mitochondrial_vulnerability	powerless	-0.5000	0.3490	naturalized
apoe4_mitochondrial_vulnerability	powerless	0.3500	0.3500	unknown
apoe4_mitochondrial_vulnerability	powerless	0.3510	0.6590	tangled_rope
apoe4_mitochondrial_vulnerability	powerless	0.6600	1.6000	snare
apoe4_mitochondrial_vulnerability	moderate	-0.5000	0.0000	rope
apoe4_mitochondrial_vulnerability	moderate	0.0010	0.3490	naturalized
apoe4_mitochondrial_vulnerability	moderate	0.3500	0.3500	unknown
apoe4_mitochondrial_vulnerability	moderate	0.3510	0.6590	tangled_rope
apoe4_mitochondrial_vulnerability	moderate	0.6600	1.6000	snare
apoe4_mitochondrial_vulnerability	institutional	-0.5000	0.0000	rope
apoe4_mitochondrial_vulnerability	institutional	0.0010	0.3490	naturalized
apoe4_mitochondrial_vulnerability	institutional	0.3500	0.3500	unknown
apoe4_mitochondrial_vulnerability	institutional	0.3510	0.6590	tangled_rope
apoe4_mitochondrial_vulnerability	institutional	0.6600	1.6000	snare
apoe4_mitochondrial_vulnerability	analytical	-0.5000	0.0000	rope
apoe4_mitochondrial_vulnerability	analytical	0.0010	0.3490	naturalized
apoe4_mitochondrial_vulnerability	analytical	0.3500	0.3500	unknown
apoe4_mitochondrial_vulnerability	analytical	0.3510	0.6590	tangled_rope
apoe4_mitochondrial_vulnerability	analytical	0.6600	1.6000	snare
architectural_pattern_validity	powerless	-0.5000	0.4500	scaffold
architectural_pattern_validity	powerless	0.4510	1.6000	unknown
architectural_pattern_validity	moderate	-0.5000	0.4500	scaffold
architectural_pattern_validity	moderate	0.4510	1.6000	unknown
architectural_pattern_validity	institutional	-0.5000	0.4500	scaffold
architectural_pattern_validity	institutional	0.4510	1.6000	unknown
architectural_pattern_validity	analytical	-0.5000	0.4500	scaffold
architectural_pattern_validity	analytical	0.4510	1.6000	unknown
authoritative_specification_reading	powerless	-0.5000	0.3490	naturalized
authoritative_specification_reading	powerless	0.3500	0.3500	unknown
authoritative_specification_reading	powerless	0.3510	0.6590	tangled_rope
authoritative_specification_reading	powerless	0.6600	1.6000	snare
authoritative_specification_reading	moderate	-0.5000	0.0000	rope
authoritative_specification_reading	moderate	0.0010	0.3490	naturalized
authoritative_specification_reading	moderate	0.3500	0.3500	unknown
authoritative_specification_reading	moderate	0.3510	0.6590	tangled_rope
authoritative_specification_reading	moderate	0.6600	1.6000	snare
authoritative_specification_reading	institutional	-0.5000	0.0000	rope
authoritative_specification_reading	institutional	0.0010	0.3490	naturalized
authoritative_specification_reading	institutional	0.3500	0.3500	unknown
authoritative_specification_reading	institutional	0.3510	0.6590	tangled_rope
authoritative_specification_reading	institutional	0.6600	1.6000	snare
authoritative_specification_reading	analytical	-0.5000	0.0000	rope
authoritative_specification_reading	analytical	0.0010	0.3490	naturalized
authoritative_specification_reading	analytical	0.3500	0.3500	unknown
authoritative_specification_reading	analytical	0.3510	0.6590	tangled_rope
authoritative_specification_reading	analytical	0.6600	1.6000	snare
basic_law_interpretive_authority__parliamentary_sovereignty_reading	powerless	-0.5000	0.3490	naturalized
basic_law_interpretive_authority__parliamentary_sovereignty_reading	powerless	0.3500	0.3500	unknown
basic_law_interpretive_authority__parliamentary_sovereignty_reading	powerless	0.3510	0.6590	tangled_rope
basic_law_interpretive_authority__parliamentary_sovereignty_reading	powerless	0.6600	1.6000	snare
basic_law_interpretive_authority__parliamentary_sovereignty_reading	moderate	-0.5000	0.0000	rope
basic_law_interpretive_authority__parliamentary_sovereignty_reading	moderate	0.0010	0.3490	naturalized
basic_law_interpretive_authority__parliamentary_sovereignty_reading	moderate	0.3500	0.3500	unknown
basic_law_interpretive_authority__parliamentary_sovereignty_reading	moderate	0.3510	0.6590	tangled_rope
basic_law_interpretive_authority__parliamentary_sovereignty_reading	moderate	0.6600	1.6000	snare
basic_law_interpretive_authority__parliamentary_sovereignty_reading	institutional	-0.5000	0.0000	rope
basic_law_interpretive_authority__parliamentary_sovereignty_reading	institutional	0.0010	0.3490	naturalized
basic_law_interpretive_authority__parliamentary_sovereignty_reading	institutional	0.3500	0.3500	unknown
basic_law_interpretive_authority__parliamentary_sovereignty_reading	institutional	0.3510	0.6590	tangled_rope
basic_law_interpretive_authority__parliamentary_sovereignty_reading	institutional	0.6600	1.6000	snare
basic_law_interpretive_authority__parliamentary_sovereignty_reading	analytical	-0.5000	0.0000	rope
basic_law_interpretive_authority__parliamentary_sovereignty_reading	analytical	0.0010	0.3490	naturalized
basic_law_interpretive_authority__parliamentary_sovereignty_reading	analytical	0.3500	0.3500	unknown
