accountability_machinery__euthynai_audit	six(shift(unknown,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[],actors(distributed,distributed),drift(rising,unknown,rising),zone(negligible,extreme))
article_9_renunciation__self_defense_interpretation_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[no_exit_for_victims],actors(distributed,distributed),drift(rising,rising,rising),zone(low,high))
articles_of_confederation__requisition_failure_reading	six(shift(rope,rope,rope,rope),[coordination,has_beneficiaries],[],actors(concentrated,none),drift(unknown,unknown,unknown),zone(negligible,negligible))
articles_of_confederation__state_sovereignty_design_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[coordination,has_beneficiaries],[],actors(distributed,none),drift(rising,unknown,rising),zone(low,moderate))
articles_of_confederation__unanimity_trap_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,unknown),zone(extreme,extreme))
assembly_petition_clause__expressive_association_doctrine	six(shift(tangled_rope,tangled_rope,rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[no_exit_for_victims],actors(distributed,distributed),drift(rising,unknown,rising),zone(low,high))
assembly_petition_clause__permit_system_limits	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
assembly_petition_clause__petition_clause_independence	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(concentrated,distributed),drift(rising,rising,rising),zone(extreme,extreme))
assembly_supremacy__mytilene_volatility_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,self_sustaining_extraction,unaccountable_extraction,unenforced_suppression],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
assembly_supremacy__nomothetai_maturation_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[no_exit_for_victims],actors(distributed,distributed),drift(rising,rising,rising),zone(low,high))
assembly_supremacy__radical_self_rule_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[coordination,has_beneficiaries],[],actors(distributed,none),drift(unknown,unknown,unknown),zone(negligible,low))
athenian_democratic_constitution__accountability_machinery	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[no_exit_for_victims],actors(concentrated,distributed),drift(rising,falling,rising),zone(low,high))
athenian_democratic_constitution__assembly_supremacy	six(shift(scaffold,scaffold,scaffold,unknown),[coordination,has_beneficiaries],[],actors(distributed,none),drift(rising,rising,rising),zone(low,high))
athenian_democratic_constitution__exclusionary_base	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(concentrated,distributed),drift(stable,rising,rising),zone(extreme,extreme))
athenian_democratic_constitution__sortition_and_rotation	six(shift(unknown,tangled_rope,tangled_rope,tangled_rope),[coordination,enforcement,has_beneficiaries],[],actors(distributed,none),drift(rising,rising,rising),zone(negligible,moderate))
australian_federation_1901__dismissal_1975_reading	six(shift(naturalized,tangled_rope,rope,snare),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
australian_federation_1901__referendum_rigidity_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
australian_federation_1901__washminster_hybrid_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(concentrated,distributed),drift(rising,rising,rising),zone(extreme,high))
autocratic_rule__hereditary_monarchy	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
autocratic_rule__military_junta	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
autocratic_rule__party_autocracy	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
basic_rights_catalog__essence_guarantee	six(shift(tangled_rope,scaffold,scaffold,tangled_rope),[coordination,has_beneficiaries,natural],[],actors(distributed,none),drift(stable,unknown,stable),zone(negligible,negligible))
basic_rights_catalog__informational_self_determination	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(falling,falling,falling),zone(extreme,extreme))
basic_rights_catalog__objective_values_order	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[no_exit_for_victims],actors(distributed,distributed),drift(rising,unknown,rising),zone(low,high))
