group,n,mean_epsilon,mean_chi_analytical,mean_h1,mean_corrected_tvd,mean_audit_tvd,mean_d_FR,mean_KL,pct_mountain,pct_rope,pct_tangled_rope,pct_snare,pct_scaffold,pct_piton
A,3,0.5000,0.6118,3.00,0.173238,0.925245,0.554794,0.176247,0.0,0.0,66.7,33.3,0.0,0.0
B,873,0.6148,0.8423,3.53,0.000571,0.816905,0.008682,0.000625,1.3,2.5,30.6,65.6,0.0,0.0
C,13,0.1331,0.1823,3.69,0.002296,0.017987,0.015985,0.000478,69.2,30.8,0.0,0.0,0.0,0.0
