context,n_fires,pct_of_h1_pos,mean_tvd_fires,mean_tvd_nonfires,mean_chi_over_epsilon
powerless,539,60.63,0.298648,0.014958,1.078297
moderate,544,61.19,0.267237,0.014638,1.097374
institutional,864,97.19,0.637275,0.029160,-0.041881
analytical,3,0.34,0.173238,0.000597,1.370427
