constraint_id,h1_band,proj_v1,proj_v2,proj_v3,proj_v4,efrac_v1,efrac_v2,efrac_v3,efrac_v4
ulysses_chp12,0,-1.3787981441926322,0.2061163194966277,0.18339208311207478,0.06153114153767999,-1.4159703119948738e-14,0.0017254585625940742,0.2688664765099651,0.729408064927455
ulysses_chp13,3,-1.1772945582956718,0.17501859841680065,0.15861824583946943,0.030599313348935203,-2.6970765739321853e-14,0.0032502623388835695,0.5254749411640727,0.4712747964970708
ulysses_chp14,0,-0.24235677819369053,0.03842524726328298,0.01955261072191807,0.00012121586922809792,-1.4026356515079525e-13,0.019226263178897328,0.979866164292934,0.0009075725283089431
ulysses_chp15,0,-1.1165042395242126,0.38036289269204454,0.4057331655692364,0.06245563016706634,-4.478132654015137e-15,0.00283399769960409,0.6347167236926957,0.36244927860770465
ulysses_chp16,3,-0.7705046375927496,0.1151831049159259,0.10248392475640473,0.03438458831388831,-1.4159964017488398e-14,0.0017255049407949787,0.26887217152015264,0.7294023235390665
ulysses_chp17,3,-0.7716070082290543,0.11449535097231558,0.10440288161507598,0.015261498943500991,-3.345761853297813e-14,0.004017033119880589,0.6574313213371381,0.33855164554301465
ulysses_chp18,0,-0.7522608427303135,0.0875746092304443,0.10259858307665407,0.03433733927484809,-1.3526152436182966e-14,0.0009995874393315097,0.2700491486418019,0.7289512639188801
un_high_seas_treaty_2026,0,-1.0543747077291157,0.15761851937169166,0.14024108886763612,0.04705297183427046,-1.4159800798927584e-14,0.001725475036665025,0.2688688291525606,0.7294056958107885
unclos_2026,0,-1.0543747077291157,0.15761851937169166,0.14024108886763612,0.04705297183427046,-1.4159800798927584e-14,0.001725475036665025,0.2688688291525606,0.7294056958107885
unconditional_university_offers_uk,6,-0.9523121441723569,0.32442747213927203,0.3460659417486565,0.053270744370479794,-4.4781536874348765e-15,0.0028340179920727008,0.6347179644570927,0.36244801755083894
uneven_risk_distribution,0,-0.8492628462038035,0.2936946955595961,0.3023731236740263,0.12641943484125523,-1.4087199131874208e-15,0.0009186701776864633,0.19166795008230714,0.8074133797400078
union_protection_underperformance,5,-0.9125663309264905,0.252418489513374,0.4096652337484705,0.06250491378251852,-2.958041810299744e-15,0.0012340841123881464,0.639817868528396,0.35894804735921887
unrequited_love_protocol,0,-1.176033095598477,0.17580560771851908,0.1564223487291704,0.0524822110798934,-1.4159795036519278e-14,0.0017254816136691316,0.26886743627467824,0.7294070821116668
unrwa_eviction_order,5,-1.1575897154195403,0.44253790576060603,0.4054749522047295,0.06256203616807665,-4.8068949737381414e-15,0.0038307452823161904,0.6330034802308618,0.36316577448682685
us_ai_chip_export_controls,6,-1.0155105759165182,0.2824436137012897,0.2924939468471535,0.053047993362916795,-6.248251022637371e-15,0.0026356036190414733,0.5563473892470203,0.4410170071339445
us_arms_transfer_policy,0,-1.176033095598477,0.17580560771851908,0.1564223487291704,0.0524822110798934,-1.4159795036519278e-14,0.0017254816136691316,0.26886743627467824,0.7294070821116668
us_canada_geopolitical_asymmetry,0,-1.055301733734281,0.15704016054219763,0.14185481373674347,0.030971628081433195,-2.3927068971702675e-14,0.002889246981174138,0.4640310856231999,0.5330796673956499
us_china_chip_tariffs_v2,0,-0.8438687669292269,0.2970599877499547,0.2929833548619111,0.21999182931691308,-5.296775924540106e-16,0.0003579126934042574,0.06852836828629799,0.9311137190202983
us_debt_ceiling,6,-0.9123572355589077,0.350970238800322,0.3799348859844043,0.053411570588870194,-3.628675104686734e-15,0.002928099531485099,0.6753972850649645,0.32167461540355397
