constraint_id,h1,corrected_tvd,kl_fwd,kl_rev,d_FR,H_sq,asymmetry_ratio,frac_mountain,frac_rope,frac_tangled_rope,frac_snare,frac_scaffold,frac_piton,argmax_cl,argmax_idx
epstein_kgb_honeytrap,3,0.061817,0.047614,0.020777,0.241334,0.014543,0.5636,0.0000,0.0000,0.0852,0.1116,0.0000,0.8031,snare,snare
frankenstein_creation_hubris,3,0.836158,1.807052,2.888183,2.073688,0.982121,0.3743,0.0000,0.0000,0.6187,0.3812,0.0000,0.0000,snare,tangled_rope
lehman_repo_105,3,0.079948,0.070745,0.046299,0.336372,0.028220,0.3456,0.0000,0.0000,0.0000,0.0607,0.0000,0.9393,snare,snare
openclaw_data_lock_in,4,0.124914,0.095554,0.176433,0.503256,0.062983,0.4584,0.0000,0.0000,0.9325,0.0675,0.0000,0.0000,snare,snare
political_dissident_containment,3,0.156707,0.355190,0.146474,0.657024,0.106953,0.5876,0.0000,0.0000,0.0626,0.0004,0.0000,0.9369,tangled_rope,tangled_rope
postman_survival_protocol,3,0.426001,3.091649,0.577834,1.409063,0.476170,0.8131,0.0000,0.8622,0.1115,0.0001,0.0001,0.0261,tangled_rope,tangled_rope
roman_bath_system,3,0.939301,3.420782,3.192354,2.449790,1.321911,0.0668,0.0000,0.5151,0.0545,0.0000,0.4305,0.0000,rope,scaffold
unrwa_eviction_order,5,0.107532,0.032881,0.029787,0.250099,0.015617,0.0941,0.0000,0.0000,0.2468,0.7514,0.0000,0.0018,tangled_rope,tangled_rope
