type	pristine	sound	borderline	contaminated	degraded	na	total	mean_F	mean_EX
tangled_rope	0	40	146	572	21	0	779	0.108	0.201
snare	0	0	21	167	3	0	191	0.045	0.018
rope	52	20	0	6	0	0	78	0.829	0.769
mountain	39	0	0	0	0	2	41	1.000	0.891
scaffold	2	4	1	3	0	0	10	0.475	0.594
piton	0	0	0	5	2	0	7	0.000	0.426
