constraint_id,context,H_sq_total,frac_mountain,frac_rope,frac_tangled_rope,frac_snare,frac_scaffold,frac_piton
26usc469_real_estate_exemption,powerless,0.0019721616478965832,0.0,0.0,0.979661650929643,0.020335282145014837,3.0669253420286653e-06,0.0
26usc469_real_estate_exemption,moderate,0.0027377566001586164,0.0,0.0,0.9807643826412681,0.019232908265018802,2.709093713115604e-06,0.0
26usc469_real_estate_exemption,institutional,1.8686890552597482,1.3378461975687475e-31,0.4584287739930335,0.018991009635333917,0.512587721303007,0.009992495068625463,1.3378461975687475e-31
26usc469_real_estate_exemption,analytical,0.01310420015356164,1.888662939007414e-29,1.888662939007414e-29,0.9883744635191014,0.011624713601587022,8.228793115726186e-07,1.888662939007414e-29
absorbing_markov_chain_trap,powerless,0.0012877006306761475,1.4621446081351233e-28,6.4495845321883e-07,0.9693089488987041,0.015765850075551237,0.014924556067291542,1.4621446081351233e-28
absorbing_markov_chain_trap,moderate,0.0018050055533826498,1.2676539295477425e-28,4.601168153837239e-07,0.9712547657141647,0.014964965407736421,0.013779808761283477,1.2676539295477425e-28
absorbing_markov_chain_trap,institutional,1.9699181249994766,5.827367581458215e-42,0.4878873308501674,0.0035453920350081857,0.49219202687808444,0.016375250236740087,5.827367581458215e-42
absorbing_markov_chain_trap,analytical,0.009549505850549075,2.617920450349868e-29,8.696925474168452e-08,0.9845838024770438,0.009043012092102537,0.006373098461599045,2.617920450349868e-29
abstraction_boundary_overrun,powerless,0.0026044592709880024,0.0,0.0,0.001899816006075221,0.5908898704831322,0.0,0.4072103135107925
abstraction_boundary_overrun,moderate,0.004515747613665109,0.0,0.0,0.0015366119205722003,0.5990604439409491,0.0,0.39940294413847865
abstraction_boundary_overrun,institutional,0.7871541498236321,1.27040001345843e-30,0.4610972292215041,0.0010288604289694265,0.5353849134902786,1.3869512148798692e-09,0.00248899547229658
abstraction_boundary_overrun,analytical,0.15011104681788148,0.0,0.0,0.00023702093941260644,0.750148090510962,0.0,0.2496148885496255
abstraction_leakage,powerless,0.0022203546727275,1.5064821745937845e-29,1.5064821745937845e-29,0.9475491881220378,0.005950729363030797,1.5064821745937845e-29,0.04650008251493126
abstraction_leakage,moderate,0.0031659483956718885,1.1582385413593724e-29,1.1582385413593724e-29,0.9277819227224238,0.0028510925156831207,1.1582385413593724e-29,0.06936698476189308
abstraction_leakage,institutional,1.8694874842318776,3.3885939017447452e-31,0.5140575543499367,1.7343490558307767e-07,0.4576943481355035,5.254206344459702e-06,0.028242669873309603
abstraction_leakage,analytical,0.055175573270834936,7.547561708150576e-31,7.547561708150576e-31,0.27408494064539723,0.09711244572393785,7.547561708150576e-31,0.6288026136306649
academic_peer_review_gatekeeping,powerless,0.01287268426316304,8.917671547805217e-40,8.917671547805217e-40,0.8468725127945951,0.153126904467679,4.3703347380604903e-07,1.4570425205228163e-07
academic_peer_review_gatekeeping,moderate,0.01812206293171274,1.5836272425227646e-40,1.5836272425227646e-40,0.8544288072727463,0.14557063395145822,3.837116025475844e-07,1.7506419306919994e-07
academic_peer_review_gatekeeping,institutional,1.6847784480917767,1.4838554754436998e-31,0.5190981864030612,0.005052088238636085,0.4743918425973701,0.0014577987310047278,8.402992796390648e-08
academic_peer_review_gatekeeping,analytical,0.09502839207656813,2.6005226783146834e-30,2.6005226783146834e-30,0.9103550313480284,0.08964245332509749,1.0951980228989809e-07,2.405807071758008e-06
academic_tenure_system,powerless,0.003744212735432968,7.664786852997456e-40,7.664786852997456e-40,0.9606389197257833,0.03934751966879686,1.2446970602148774e-07,1.3436135713754262e-05
academic_tenure_system,moderate,0.0052078443362179455,7.541075048938228e-30,7.541075048938228e-30,0.9627422417271833,0.03723892816394653,9.032489713463212e-08,1.8739783973205708e-05
academic_tenure_system,institutional,1.8520083674064085,1.349886777145374e-31,0.48971333725894567,0.0031002671453958046,0.5068813867914543,0.0003009516811202166,4.057123083881187e-06
academic_tenure_system,analytical,0.025247196951768896,9.894179588720481e-30,9.894179588720481e-30,0.976935535199978,0.022510505454236492,1.863169225770976e-08,0.0005539407140932193
access_arbitrage,powerless,0.0018194769521942197,6.226559738981645e-32,0.0009362691613355519,0.02767596840550747,0.9628361558822796,0.00855160655087744,6.226559738981645e-32
access_arbitrage,moderate,0.002865075297472517,6.378673030315272e-32,0.000710650722908232,0.029541519507788903,0.9621277002863041,0.007620129482998635,6.378673030315272e-32
access_arbitrage,institutional,1.2506170205068998,1.672752243905502e-33,0.6760796054891295,0.3007407954353731,0.017013881415143546,0.006165717660354007,1.672752243905502e-33
access_arbitrage,analytical,0.06232323920908565,2.6254884632538383e-30,4.784059845624399e-05,0.072289212777049,0.9259037833774305,0.0017591632470643989,2.6254884632538383e-30
ad_fus_coordination,powerless,0.0019652521579010523,1.460300777892197e-39,1.460300777892197e-39,0.9797346365155221,0.020262576404944964,2.7870795329399074e-06,1.460300777892197e-39
ad_fus_coordination,moderate,0.002728144800157553,0.0,0.0,0.9808334453630486,0.019164092730811457,2.46190613987837e-06,0.0
ad_fus_coordination,institutional,1.8639869393725799,1.3412119760699644e-31,0.45473575018142387,0.021851912987242733,0.5136170461152475,0.009795290716085966,1.3412119760699644e-31
ad_fus_coordination,analytical,0.013057591066540981,1.8972121608155554e-29,1.8972121608155554e-29,0.9884162451980526,0.011583014290277837,7.405116696174665e-07,1.8972121608155554e-29
ad_synaptic_deficit,powerless,0.0007451382717861074,1.9519438547417555e-28,1.9519438547417555e-28,0.9924136529994725,0.0075862424273789196,1.0457314861196431e-07,1.9519438547417555e-28
ad_synaptic_deficit,moderate,0.0010290432463091032,1.848557681616352e-28,1.848557681616352e-28,0.992822975701618,0.007176948576146143,7.572223569067753e-08,1.848557681616352e-28
ad_synaptic_deficit,institutional,1.9421073825716495,1.287262294947932e-31,0.48140886873790933,0.009611344629378436,0.5045069718264564,0.0044728148062556875,1.287262294947932e-31
ad_synaptic_deficit,analytical,0.004704403904174295,5.313956909935231e-29,5.313956909935231e-29,0.995576617185513,0.004423366250974111,1.6563513002126363e-08,5.313956909935231e-29
adaptive_lag_trap,powerless,0.003989438126922179,0.0,0.0,0.0007625155696956759,0.5852775154887214,0.0,0.41395996894158293
adaptive_lag_trap,moderate,0.006760842646291768,0.0,0.0,0.000630133525711572,0.5947434969123272,0.0,0.40462636956196135
adaptive_lag_trap,institutional,0.7721418560274177,1.2950996435741627e-30,0.43171614537001857,0.0008758490886553314,0.5608558010422052,6.473019734591285e-10,0.0065522038518188545
adaptive_lag_trap,analytical,0.1844831165641902,1.5556216245613288e-41,1.5556216245613288e-41,0.00011583945177613502,0.7579226872696695,1.5556216245613288e-41,0.24196147327855422
adversarial_surface_inflation,powerless,0.004810455073066514,0.0,0.0,0.0005382565349274913,0.5856462265374147,0.0,0.4138155169276578
adversarial_surface_inflation,moderate,0.00807729366007238,0.0,0.0,0.000448671841488818,0.5957993297936078,0.0,0.40375199836490344
adversarial_surface_inflation,institutional,0.7653962823587896,1.3065135872466095e-30,0.42173061607590734,0.0008612324160088895,0.5691442900766879,5.92138342952047e-10,0.00826386083925757
adversarial_surface_inflation,analytical,0.20118305338989312,0.0,0.0,8.92738112716784e-05,0.7637988628067409,0.0,0.23611186338198753
adverse_possession,powerless,0.021694856188089154,3.2731150272884165e-34,3.2731150272884165e-34,0.5460928070576222,0.41084593100633204,2.5438415804773584e-07,0.0430610075518878
adverse_possession,moderate,0.03195674799355259,2.2277124742839766e-34,2.2277124742839766e-34,0.5626166757192087,0.39355369211534647,2.2411029991926017e-07,0.0438294080551449
adverse_possession,institutional,1.7322677537659865,1.427814807826513e-31,0.5600558426139921,0.1760782545397999,0.21499473766620786,1.4723785107355385e-05,0.048856441394892744
adverse_possession,analytical,0.2498871430865735,8.843302692825229e-31,8.843302692825229e-31,0.7206598338071007,0.18181565928151744,5.991043959199518e-08,0.09752444700094225
advice_as_dangerous_gift,powerless,0.0007466124699977311,0.0,0.6511177885955214,0.0032953698924434753,0.016775717574124827,0.32881112393791023,0.0
advice_as_dangerous_gift,moderate,0.0010063061113639946,0.0,0.6266846890584468,0.003113247429904037,0.01954251157548976,0.3506595519361595,0.0
advice_as_dangerous_gift,institutional,1.2381879335069788,2.3177897129144088e-42,0.6272427445640357,0.357673202686257,0.00016287790457421994,0.014921174845132952,2.3177897129144088e-42
advice_as_dangerous_gift,analytical,0.004271894624812866,0.0,0.3472163524215096,0.001526747836318591,0.10190656781772557,0.5493503319244463,0.0
agency_atrophy,powerless,0.009086565699158694,0.0,0.0,8.127308045320038e-05,0.5887365456769197,0.0,0.41118218124262707
agency_atrophy,moderate,0.014840980161829104,0.0,0.0,6.951204443896083e-05,0.6017704344551253,0.0,0.39816005350043576
agency_atrophy,institutional,0.7288347986337881,1.3720539200437705e-30,0.37095898137156286,0.0004501772758107468,0.6094970808058995,1.1792724694215516e-11,0.019093760534934157
agency_atrophy,analytical,0.26864213344781984,0.0,0.0,1.8058127905686248e-05,0.7853826797841633,0.0,0.21459926208793093
agg1_genetic_determinism,powerless,0.0019652521579010523,1.460300777892197e-39,1.460300777892197e-39,0.9797346365155221,0.020262576404944964,2.7870795329399074e-06,1.460300777892197e-39
agg1_genetic_determinism,moderate,0.002728144800157553,0.0,0.0,0.9808334453630486,0.019164092730811457,2.46190613987837e-06,0.0
agg1_genetic_determinism,institutional,1.8639869393725799,1.3412119760699644e-31,0.45473575018142387,0.021851912987242733,0.5136170461152475,0.009795290716085966,1.3412119760699644e-31
agg1_genetic_determinism,analytical,0.013057591066540981,1.8972121608155554e-29,1.8972121608155554e-29,0.9884162451980526,0.011583014290277837,7.405116696174665e-07,1.8972121608155554e-29
aging_longevity_tests,powerless,0.001516461036813219,2.313683563299029e-31,9.881137687296573e-06,0.01976425112741139,0.9753924997970385,0.004833367937862825,2.313683563299029e-31
aging_longevity_tests,moderate,0.0023993572410204883,2.418604608954491e-31,7.091599276448636e-06,0.02120735215033394,0.974576597102234,0.004208959148155729,2.418604608954491e-31
aging_longevity_tests,institutional,1.2953362837681406,2.2052064993145996e-33,0.6662704869536465,0.3147247487929467,0.011385273737623647,0.007619490515782996,2.2052064993145996e-33
aging_longevity_tests,analytical,0.05523024928399311,1.9319338708087402e-30,3.291225611296106e-07,0.056464467872731246,0.9427809022595323,0.0007543007451754222,1.9319338708087402e-30
ai_adoption_stigma,powerless,0.0158320865556726,1.1401929269630344e-32,2.8674627694146223e-07,0.7128086246329955,0.2867872603647755,0.00040382825595212626,1.1401929269630344e-32
ai_adoption_stigma,moderate,0.02288667374855207,4.4009681363186524e-30,1.9835961861352897e-07,0.7243044632846459,0.27532345451765067,0.0003718838380847959,4.4009681363186524e-30
ai_adoption_stigma,institutional,1.5333010505902025,0.0,0.542400403591016,0.02676090943698566,0.41882507058853935,0.012013616383458907,0.0
ai_adoption_stigma,analytical,0.15298560703721925,1.6341417043998706e-30,2.9674633869414884e-08,0.8250722874238676,0.17476483667328382,0.0001628462282147137,1.6341417043998706e-30
ai_auditability_gap,powerless,0.004756194530813639,9.810154716620141e-30,5.423790316845977e-07,0.1537868189657827,0.3541527935867122,2.559836068367138e-08,0.4920598194701128
ai_auditability_gap,moderate,0.006756313502892982,2.860788664772859e-29,3.818147549021244e-07,0.15587248691689826,0.3475773207313477,2.2087484096715463e-08,0.4965497884495151
ai_auditability_gap,institutional,1.4771723250466664,0.0,0.5696288027869266,0.00031056410011770025,0.38961433242034726,3.7345930251841473e-07,0.04044592723330588
ai_auditability_gap,analytical,0.03421523310100513,2.893744488161081e-29,7.539507846081673e-08,0.204176770390572,0.28957033402478266,4.361506660516022e-09,0.5062528158280604
ai_banal_capture,powerless,0.0006739192496933291,1.6509554198038867e-28,1.6509554198038867e-28,0.9925288927497574,0.007164690665477605,5.362510942351939e-08,0.00030636295965547224
ai_banal_capture,moderate,0.0009373457963652702,1.669786703180733e-28,1.669786703180733e-28,0.9930207918077321,0.006769645484129866,3.855460135235323e-08,0.00020952415353673464
ai_banal_capture,institutional,1.9305862556435078,1.2949354934962554e-31,0.49112843216149427,0.008657832564287437,0.5001727167050856,4.0443557385412116e-05,5.750117474169096e-07
ai_banal_capture,analytical,0.004611107276905545,5.418241839581512e-29,5.418241839581512e-29,0.9919832053262526,0.0038632173577958203,7.837378603273899e-09,0.004153569478573012
