group,n,mean_epsilon,mean_chi_analytical,mean_h1,mean_corrected_tvd,mean_audit_tvd,mean_d_FR,mean_KL,pct_mountain,pct_rope,pct_tangled_rope,pct_snare,pct_scaffold,pct_piton
A,8,0.6100,0.8288,3.38,0.341547,0.717423,0.990078,1.115183,0.0,0.0,37.5,62.5,0.0,0.0
B,288,0.5507,0.7536,4.77,0.002942,0.589689,0.012879,0.000464,2.4,0.3,14.9,82.3,0.0,0.0
C,8,0.2938,0.4027,3.38,0.000189,0.030489,0.015861,0.001290,37.5,0.0,62.5,0.0,0.0,0.0
