constraint_id,h1,max_tvd,t13_fires,worst_context,d_FR_worst,KL_fwd_worst,KL_rev_worst,asymmetry_ratio,argmax_cl,argmax_idx
academic_peer_review_gatekeeping,6,0.7104108442121635,True,institutional,2.064492892326638,15.783880651874977,2.8169383652863833,0.8215306851707753,snare,tangled_rope
adversarial_surface_inflation,0,0.5369598310433067,False,institutional,1.7551035056824962,11.731799533250701,2.4418421234097525,0.7918612471608475,snare,tangled_rope
agentive_optimism_2026,5,0.9842104154976072,True,institutional,3.0425410743769747,22.61064327131276,15.188830537693017,0.32824420979814245,snare,rope
ai_compute_capital_moat,0,0.7735964107430707,False,institutional,2.86541821971264,16.585366447488706,12.491977028973622,0.2468072943383708,snare,scaffold
ai_evaluators_matching,0,0.7125673580581919,False,institutional,2.07666674373024,15.839020173323373,3.022076885539564,0.8092005154062843,snare,tangled_rope
banach_tarski_paradox,0,0.03712155731021061,False,institutional,0.36853699493426995,0.03724861243582727,0.1848963791947559,0.7985433105934844,mountain,mountain
blackstone_tax_receiveable_agreement,5,0.9722248480557207,True,institutional,3.125739732420107,22.433537303981442,16.45880170452422,0.2663305174969818,snare,scaffold
boltzmann_universality_2026,0,0.06499731744151283,False,institutional,0.49164636691848085,0.0662911847317683,0.33270318985074987,0.8007497771166353,mountain,mountain
cancer_prevention,0,0.5947011847636008,False,institutional,1.870712630366625,13.075271364121567,3.153883280488355,0.758790223723954,snare,tangled_rope
cantor_set_topology,0,0.06499731744151283,False,institutional,0.49164636691848085,0.0662911847317683,0.33270318985074987,0.8007497771166353,mountain,mountain
carrier_deployment_deterrence,5,0.7442013893678906,True,institutional,2.0662249092833758,6.700805133683722,1.3660146085928857,0.7961417200858179,snare,tangled_rope
castration_longevity_choice,0,0.5354808005807763,False,institutional,1.7251473331554628,11.682684980598733,2.0221890685496438,0.8269071645852076,snare,tangled_rope
cb_far_beyond_human,0,0.7110083398770009,False,institutional,2.06702828083487,15.798747323224893,2.852488945578066,0.8194484102302988,snare,tangled_rope
