leg	n_scored	n_skipped_modal_tie	n_skipped_unparseable	cond_and_TR	cond_and_notTR	notcond_and_TR	notcond_and_notTR	both_offdiag_populated
testsets	94	7	8	7	77	0	10	False
testsets_haiku	885	75	0	168	571	40	106	True
testsets_flash	890	70	0	115	773	0	2	False
kernel_v1	871	235	0	398	228	150	95	True
