kernel	name_a	name_b	shared_tokens	jaccard	operator_distinct(Y/N)
marriage_authority_kernel	individual_liberty_supersedes_community_authority	marriage_as_community_status_not_individual_contract	2	0.25	
vatican_ii_doctrinal_authority	doctrinal_continuity_through_development	doctrinal_positions_reversible_under_development	2	0.333	
