label,metric,current_value,verdict,proposed_value,possibly_induced,haiku_breaks,flash_breaks,notes
mountain_extractiveness_max,eps,0.25,MODEL-CONFOUNDED,,,0.4839,,cut in mass but at least one twin has no validated alternate break
snare_epsilon_floor,eps,0.46,MODEL-CONFOUNDED,,,0.4839,,"cut sits in a trough on one twin but in mass on the other (haiku in_trough=True, flash in_trough=False)"
tangled_rope_epsilon_floor,eps,0.3,MODEL-CONFOUNDED,,,0.4839,,cut in mass but at least one twin has no validated alternate break
rope_chi_ceiling,chi,0.35,MODEL-CONFOUNDED,,,0.6662,,cut in mass but at least one twin has no validated alternate break
snare_chi_floor,chi,0.66,MODEL-CONFOUNDED,,,0.6662,,"cut sits in a trough on one twin but in mass on the other (haiku in_trough=True, flash in_trough=False)"
snare_suppression_floor,supp,0.6,MODEL-CONFOUNDED,,,,0.4901,cut in mass but at least one twin has no validated alternate break
tangled_rope_suppression_floor,supp,0.4,MODEL-CONFOUNDED,,,,0.4901,cut in mass but at least one twin has no validated alternate break
